title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,Nominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,genre
syriana (2005),syriana,http://www.imdb.com/title/tt0365737/,7.0,92002,7680,2005.0,video.movie,9,21,82,730,619,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Drama
tagebuch eines skandals (2006),tagebuch eines skandals,http://www.imdb.com/title/tt0465551/,7.5,55692,5520,2006.0,video.movie,15,38,57,201,268,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Drama
atrocious (2010),atrocious,http://www.imdb.com/title/tt1734067/,5.1,2984,4500,2010.0,video.movie,0,0,16,70,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Horror
sideways (2004),sideways,http://www.imdb.com/title/tt0375063/,7.6,125398,7560,2004.0,video.movie,108,39,20,1218,811,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Comedy
punch-drunk love (2002),punch drunk love,http://www.imdb.com/title/tt0272338/,7.3,85032,5700,2002.0,video.movie,15,18,46,257,853,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Comedy
at the movies,at the movies summer special tv episode,http://www.imdb.com/title/tt1387564/,,,3240,2008.0,video.episode,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,TalkShow
star wars: episode i - die dunkle bedrohung (1999),star wars episode i die dunkle bedrohung,http://www.imdb.com/title/tt0120915/,6.5,379493,8160,1999.0,video.movie,12,52,228,1928,3443,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
star wars: episode iii - die rache der sith (2005),star wars episode iii die rache der sith,http://www.imdb.com/title/tt0121766/,7.7,363226,8400,2005.0,video.movie,14,29,371,1306,3187,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
star wars: episode ii - angriff der klonkrieger (2002),star wars episode ii angriff der klonkrieger,http://www.imdb.com/title/tt0121765/,6.8,323204,8520,2002.0,video.movie,11,41,169,778,3412,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
stargate (1994),stargate,http://www.imdb.com/title/tt0111282/,7.0,123007,7260,1994.0,video.movie,6,5,67,271,232,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
man of steel (2013),man of steel,http://www.imdb.com/title/tt0770828/,7.4,359724,8580,2013.0,video.movie,4,16,137,15096,2238,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
iron man 3 (2013),iron man,http://www.imdb.com/title/tt1300854/,7.4,349551,7800,2013.0,video.movie,12,35,170,11894,1107,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
john carter: zwischen zwei welten (2012),john carter zwischen zwei welten,http://www.imdb.com/title/tt0401729/,6.6,166665,7920,2012.0,video.movie,1,4,140,3101,677,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
fantastic four (2005),fantastic four,http://www.imdb.com/title/tt0120667/,5.7,200826,6360,2005.0,video.movie,0,0,79,2932,992,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
spider-man (2002),spider man,http://www.imdb.com/title/tt0145487/,7.3,388552,7260,2002.0,video.movie,12,44,104,7963,1985,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
superman returns (2006),superman returns,http://www.imdb.com/title/tt0348150/,6.2,205769,9240,2006.0,video.movie,10,22,210,3008,2348,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
fantastic four: rise of the silver surfer (2007),fantastic four rise of the silver surfer,http://www.imdb.com/title/tt0486576/,5.6,161460,5520,2007.0,video.movie,2,13,50,321,426,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
skins - hautnah,skins hautnah thomas tv episode,http://www.imdb.com/title/tt1593577/,7.2,187,2700,2010.0,video.episode,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
tigerland (2000),tigerland,http://www.imdb.com/title/tt0170691/,7.1,29876,6060,2000.0,video.movie,3,3,86,96,150,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drama
armee im schatten (1969),armee im schatten,http://www.imdb.com/title/tt0064040/,8.1,11564,8700,1969.0,video.movie,3,0,7,60,73,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drama
birdy (1984),birdy,http://www.imdb.com/title/tt0086969/,7.3,14730,7200,1984.0,video.movie,3,1,25,33,59,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drama
stalingrad (1993),stalingrad,http://www.imdb.com/title/tt0108211/,7.5,19666,8040,1993.0,video.movie,3,1,23,43,138,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drama
europa (1991),europa,http://www.imdb.com/title/tt0101829/,7.7,13072,6720,1991.0,video.movie,16,4,7,181,57,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
iwans kindheit (1962),iwans kindheit,http://www.imdb.com/title/tt0056111/,8.1,12900,5700,1962.0,video.movie,2,0,12,15,41,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drama
la chiesa (1989),la chiesa,http://www.imdb.com/title/tt0094860/,6.2,3296,6120,1989.0,video.movie,0,0,6,16,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Horror
hoffnung und ruhm (1987),hoffnung und ruhm,http://www.imdb.com/title/tt0093209/,7.4,8343,6780,1987.0,video.movie,18,19,13,40,65,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
johnny zieht in den krieg (1971),johnny zieht in den krieg,http://www.imdb.com/title/tt0067277/,7.9,9421,6660,1971.0,video.movie,3,2,6,22,76,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drama
ein haufen toller hunde (1965),ein haufen toller hunde,http://www.imdb.com/title/tt0059274/,7.9,7603,7380,1965.0,video.movie,3,6,7,29,78,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drama
schwarze narzisse (1947),schwarze narzisse,http://www.imdb.com/title/tt0039192/,8.0,12785,6000,1947.0,video.movie,3,0,38,188,122,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
kickin' it old skool (2007),kickin it old skool,http://www.imdb.com/title/tt0772178/,4.6,5728,6480,2007.0,video.movie,0,0,26,11,34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
dreamscape (1984),dreamscape,http://www.imdb.com/title/tt0087175/,6.3,8817,5940,1984.0,video.movie,1,2,20,42,56,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Adventure
heroes for sale (1933),heroes for sale,http://www.imdb.com/title/tt0024115/,7.8,1403,4560,1933.0,video.movie,0,0,6,4,29,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drama
28 tage später (2002),tage sp ter,http://www.imdb.com/title/tt0289043/,7.7,231106,6780,2002.0,video.movie,10,25,41,22,1414,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Horror
resident evil (2002),resident evil,http://www.imdb.com/title/tt0120804/,6.7,159910,6000,2002.0,video.movie,0,0,67,5124,1124,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
die dämonischen (1956),die d monischen,http://www.imdb.com/title/tt0049366/,7.8,26864,4800,1956.0,video.movie,1,0,36,19,189,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Horror
existenz (1999),existenz,http://www.imdb.com/title/tt0120907/,6.8,63821,5820,1999.0,video.movie,3,7,27,0,505,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,SciFi
der nebel (2007),der nebel,http://www.imdb.com/title/tt0884328/,7.2,170012,7560,2007.0,video.movie,2,5,16,836,1005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Horror
der unsichtbare (1933),der unsichtbare,http://www.imdb.com/title/tt0024184/,7.7,15927,4260,1933.0,video.movie,3,0,12,144,141,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Drama
der schrecken vom amazonas (1954),der schrecken vom amazonas,http://www.imdb.com/title/tt0046876/,7.0,12987,4740,1954.0,video.movie,1,0,40,448,156,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Adventure
der feuerteufel (1984),der feuerteufel,http://www.imdb.com/title/tt0087262/,6.0,18696,6060,1984.0,video.movie,0,0,17,114,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Horror
sunshine (2007),sunshine,http://www.imdb.com/title/tt0448134/,7.3,146791,6420,2007.0,video.movie,1,10,37,683,742,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Adventure
predator (1987),predator,http://www.imdb.com/title/tt0093773/,7.9,223333,6420,1987.0,video.movie,3,4,63,886,572,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
savage harvest 2: october blood (video 2006),savage harvest october blood video,http://www.imdb.com/title/tt0352814/,5.3,240,7140,2006.0,video.movie,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
spiegelbild im goldenen auge (1967),spiegelbild im goldenen auge,http://www.imdb.com/title/tt0062185/,6.9,3491,6480,1967.0,video.movie,1,0,15,34,61,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Drama
die glücksritter (1983),die gl cksritter,http://www.imdb.com/title/tt0086465/,7.5,79297,6960,1983.0,video.movie,3,4,20,345,139,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
clerks - die ladenhüter (1994),clerks die ladenh ter,http://www.imdb.com/title/tt0109445/,7.9,153057,5520,1994.0,video.movie,4,6,26,1066,604,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
kabinett außer kontrolle (2009),kabinett au er kontrolle,http://www.imdb.com/title/tt1226774/,7.5,35293,6360,2009.0,video.movie,16,20,14,772,124,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
superbad (2007),superbad,http://www.imdb.com/title/tt0829482/,7.7,327058,6780,2007.0,video.movie,7,14,79,2809,540,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
der sinn des lebens (1983),der sinn des lebens,http://www.imdb.com/title/tt0085959/,7.6,60984,6420,1983.0,video.movie,1,1,52,112,185,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Comedy
two and a half men,two and a half men gorp fnark schmegle tv episode,http://www.imdb.com/title/tt1544843/,8.9,397,1200,2009.0,video.episode,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
die stadt der verlorenen kinder (1995),die stadt der verlorenen kinder,http://www.imdb.com/title/tt0112682/,7.7,46812,6720,1995.0,video.movie,2,10,29,83,230,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Adventure
brazil (1985),brazil,http://www.imdb.com/title/tt0088846/,8.0,125037,7920,1985.0,video.movie,10,1,42,613,490,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Drama
the fall (2006),the fall,http://www.imdb.com/title/tt0460791/,7.9,70480,7020,2006.0,video.movie,3,4,28,630,272,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
die fliege (1986),die fliege,http://www.imdb.com/title/tt0091064/,7.5,89158,5760,1986.0,video.movie,7,9,23,580,254,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Horror
e.t. - der außerirdische (1982),e t der au erirdische,http://www.imdb.com/title/tt0083866/,7.9,218383,6900,1982.0,video.movie,47,28,114,1194,468,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
the limits of control - der geheimnisvolle killer (2009),the limits of control der geheimnisvolle killer,http://www.imdb.com/title/tt1135092/,6.2,12156,6960,2009.0,video.movie,0,0,43,163,107,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Crime
der letzte kaiser (1987),der letzte kaiser,http://www.imdb.com/title/tt0093389/,7.8,53698,9780,1987.0,video.movie,44,13,46,270,119,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biography
hunger (2008),hunger,http://www.imdb.com/title/tt0986233/,7.6,36844,5760,2008.0,video.movie,36,22,14,1313,121,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biography
the social network (2010),the social network,http://www.imdb.com/title/tt1285016/,7.8,334871,7200,2010.0,video.movie,102,86,159,11716,650,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biography
oscar wilde (1997),oscar wilde,http://www.imdb.com/title/tt0120514/,6.9,10648,7080,1997.0,video.movie,3,7,20,196,96,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biography
das erste evangelium matthäus (1964),das erste evangelium matth us,http://www.imdb.com/title/tt0058715/,7.9,5956,8220,1964.0,video.movie,8,4,25,20,57,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biography
die geschichte der adele h. (1975),die geschichte der adele h,http://www.imdb.com/title/tt0073114/,7.4,4331,5760,1975.0,video.movie,11,4,9,22,29,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biography
becket (1964),becket,http://www.imdb.com/title/tt0057877/,8.1,9251,8880,1964.0,video.movie,14,22,16,68,87,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biography
marie antoinette (2006),marie antoinette,http://www.imdb.com/title/tt0422720/,6.4,63248,7380,2006.0,video.movie,8,9,106,433,600,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biography
luther (2003),luther,http://www.imdb.com/title/tt0309820/,6.7,11118,7380,2003.0,video.movie,4,1,3,26,103,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biography
danton (1983),danton,http://www.imdb.com/title/tt0083789/,7.5,3430,8160,1983.0,video.movie,6,5,13,13,26,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biography
planet der affen: prevolution (2011),planet der affen prevolution,http://www.imdb.com/title/tt1318514/,7.6,272843,6300,2011.0,video.movie,12,24,40,4951,594,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
matrix reloaded (2003),matrix reloaded,http://www.imdb.com/title/tt0234215/,7.2,333743,8280,2003.0,video.movie,5,20,207,490,2771,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
mad max - jenseits der donnerkuppel (1985),mad max jenseits der donnerkuppel,http://www.imdb.com/title/tt0089530/,6.2,67224,6420,1985.0,video.movie,1,5,31,153,145,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Action
outlander (2008),outlander,http://www.imdb.com/title/tt0462465/,6.3,54302,6900,2008.0,video.movie,0,0,21,161,150,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
star trek: into darkness (2013),star trek into darkness,http://www.imdb.com/title/tt1408101/,7.9,270323,7920,2013.0,video.movie,6,27,86,7706,1054,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
matrix revolutions (2003),matrix revolutions,http://www.imdb.com/title/tt0242653/,6.7,288612,7740,2003.0,video.movie,1,18,157,277,2117,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
the time machine (2002),the time machine,http://www.imdb.com/title/tt0268695/,5.9,88017,5760,2002.0,video.movie,1,0,72,191,605,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
iron man 2 (2010),iron man,http://www.imdb.com/title/tt1228705/,7.1,336029,7440,2010.0,video.movie,3,24,205,11441,684,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
der wüstenplanet (1984),der w stenplanet,http://www.imdb.com/title/tt0087182/,6.6,80846,8220,1984.0,video.movie,1,4,74,537,536,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
the statue of liberty (1985),the statue of liberty,http://www.imdb.com/title/tt0092011/,7.2,282,3600,1985.0,video.movie,0,3,10,29,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Documentary
the unauthorized 'star wars' story (video 1999),the unauthorized star wars story video,http://www.imdb.com/title/tt0219372/,4.6,175,3780,1999.0,video.movie,0,0,5,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Documentary
das comeback (2005),das comeback,http://www.imdb.com/title/tt0352248/,8.0,122726,8640,2005.0,video.movie,14,26,160,426,508,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biography
hurricane (1999),hurricane,http://www.imdb.com/title/tt0174856/,7.5,61075,8760,1999.0,video.movie,7,15,49,74,252,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biography
ali (2001),ali,http://www.imdb.com/title/tt0248667/,6.7,64588,9420,2001.0,video.movie,9,24,30,39,374,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biography
mit herz und hand (2005),mit herz und hand,http://www.imdb.com/title/tt0412080/,7.9,37508,7620,2005.0,video.movie,10,5,18,22,244,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biography
blind side - die große chance (2009),blind side die gro e chance,http://www.imdb.com/title/tt0878804/,7.7,154322,7740,2009.0,video.movie,7,22,38,3996,373,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biography
touchdown - sein ziel ist der sieg (1993),touchdown sein ziel ist der sieg,http://www.imdb.com/title/tt0108002/,7.5,33458,6840,1993.0,video.movie,2,1,23,118,146,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biography
unbesiegbar - der traum seines lebens (2006),unbesiegbar der traum seines lebens,http://www.imdb.com/title/tt0445990/,7.1,38213,6300,2006.0,video.movie,0,0,49,197,137,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biography
dogtown boys (2005),dogtown boys,http://www.imdb.com/title/tt0355702/,7.1,35636,6420,2005.0,video.movie,1,7,98,217,192,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biography
42 (2013),,http://www.imdb.com/title/tt0453562/,7.6,44350,7680,2013.0,video.movie,3,13,50,20,168,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biography
die hölle ist in mir (1956),die h lle ist in mir,http://www.imdb.com/title/tt0049778/,7.5,4572,6780,1956.0,video.movie,2,3,17,37,52,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biography
the express (2008),the express,http://www.imdb.com/title/tt0469903/,7.3,12791,7800,2008.0,video.movie,1,2,36,155,43,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biography
the babe - ein amerikanischer traum (1992),the babe ein amerikanischer traum,http://www.imdb.com/title/tt0103747/,5.8,6558,6900,1992.0,video.movie,0,0,6,9,45,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biography
v.i.p. - die bodyguards,v i p die bodyguards raging val tv episode,http://www.imdb.com/title/tt0738611/,5.7,13,2700,1999.0,video.episode,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
blutgericht in texas (1974),blutgericht in texas,http://www.imdb.com/title/tt0072271/,7.5,72698,4980,1974.0,video.movie,1,0,6,403,768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Horror
angel heart (1987),angel heart,http://www.imdb.com/title/tt0092563/,7.4,50540,6780,1987.0,video.movie,1,3,31,80,219,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Horror
die tollkühne hexe in ihrem fliegenden bett (1971),die tollk hne hexe in ihrem fliegenden bett,http://www.imdb.com/title/tt0066817/,7.0,19757,5340,1971.0,video.movie,1,5,19,74,89,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
faszination des grauens (1996),faszination des grauens,http://www.imdb.com/title/tt0117883/,7.5,21520,7500,1996.0,video.movie,14,5,8,14,110,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Horror
[rec] (2007),rec,http://www.imdb.com/title/tt1038988/,7.5,100652,4680,2007.0,video.movie,16,8,14,219,353,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Horror
echoes - stimmen aus der zwischenwelt (1999),echoes stimmen aus der zwischenwelt,http://www.imdb.com/title/tt0164181/,7.0,53413,5940,1999.0,video.movie,3,1,38,111,364,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Horror
the changeling (1980),the changeling,http://www.imdb.com/title/tt0080516/,7.3,17980,6420,1980.0,video.movie,10,4,10,34,265,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Horror
ring (2002),ring,http://www.imdb.com/title/tt0298130/,7.1,185424,6900,2002.0,video.movie,11,6,43,808,1603,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Horror
das geheimnis der schwarzen handschuhe (1970),das geheimnis der schwarzen handschuhe,http://www.imdb.com/title/tt0065143/,7.2,9477,6060,1970.0,video.movie,1,1,17,13,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Mystery
jessy - die treppe in den tod (1974),jessy die treppe in den tod,http://www.imdb.com/title/tt0071222/,7.3,17385,5880,1974.0,video.movie,2,2,12,228,324,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Horror
nachtwache (1994),nachtwache,http://www.imdb.com/title/tt0110631/,7.4,10274,6420,1994.0,video.movie,10,2,15,3,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Horror
phenomena (1985),phenomena,http://www.imdb.com/title/tt0087909/,6.9,12611,6600,1985.0,video.movie,0,0,24,55,159,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Horror
alice im wunderland (1951),alice im wunderland,http://www.imdb.com/title/tt0043274/,7.4,69990,4500,1951.0,video.movie,0,1,58,16,129,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
charlie und die schokoladenfabrik (1971),charlie und die schokoladenfabrik,http://www.imdb.com/title/tt0067992/,7.8,93291,6000,1971.0,video.movie,0,1,64,14,330,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fantasy
saturday night live,saturday night live charlie day maroon tv episode,http://www.imdb.com/title/tt2087453/,7.2,104,5400,2011.0,video.episode,0,0,17,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
