title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,Nominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,genre
das bombengeschäft (1983),das bombengesch ft,http://www.imdb.com/title/tt0085412/,4.4,2680,5940,1983.0,video.movie,0,0,10,2,26,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
das kloster zum heiligen wahnsinn (1983),das kloster zum heiligen wahnsinn,http://www.imdb.com/title/tt0085496/,6.6,3744,6840,1983.0,video.movie,1,1,8,9,18,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
faces of death ii (1981),faces of death ii,http://www.imdb.com/title/tt0085518/,3.1,1241,5100,1981.0,video.movie,0,0,9,0,12,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Documentary
flashdance (1983),flashdance,http://www.imdb.com/title/tt0085549/,6.0,27260,5700,1983.0,video.movie,10,14,44,269,117,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Drama
zwei bärenstarke typen (1983),zwei b renstarke typen,http://www.imdb.com/title/tt0085601/,7.1,4364,6420,1983.0,video.movie,0,0,7,251,16,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
going back (1984),going back,http://www.imdb.com/title/tt0085602/,7.2,97,4740,1984.0,video.movie,0,0,13,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Drama
hercules (1983),hercules,http://www.imdb.com/title/tt0085672/,3.5,1990,5880,1983.0,video.movie,2,3,16,0,35,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
höllenjagd bis ans ende der welt (1983),h llenjagd bis ans ende der welt,http://www.imdb.com/title/tt0085678/,5.9,3281,6300,1983.0,video.movie,0,0,6,6,54,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Adventure
the house on sorority row (1983),the house on sorority row,http://www.imdb.com/title/tt0085694/,6.0,2641,5460,1983.0,video.movie,0,0,9,36,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Horror
liquid sky (1982),liquid sky,http://www.imdb.com/title/tt0085852/,6.1,3398,6720,1982.0,video.movie,7,0,9,18,69,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Comedy
